i,d_cosine_ratio[i],d_coMat_ratio[i],s_cosine_ratio[i],s_coMat_ratio[i],countSq
235,0.373870794264,0.315717866094,0.373045830568,0.288082214487,5824.0
236,0.244765841897,0.165605095541,0.265636095164,0.209987195903,183.0
237,0.5699210027,0.451911308456,0.656603579125,0.497590988997,15710.0
238,0.492825836178,0.424903436664,0.691019261335,0.56954552097,15047.0
239,0.400058828296,0.404799132072,0.662023510509,0.659443269908,9378.0
240,0.302473991192,0.373063086365,0.480198198729,0.60726873972,21603.0
241,0.311744515102,0.206829896907,0.574509715052,0.467034990792,3649.0
242,0.22331057489,0.36727589208,0.2969360915,0.381151832461,137.0
243,0.431966567749,0.433258997171,0.648631492392,0.426573106691,167676.0
244,0.32562503923,0.389308887434,0.39904041504,0.338191179763,52732.0
245,0.151019300503,0.162418521016,0.135922028146,0.179212615204,9732.0
246,0.234293850768,0.244385009506,0.362937364006,0.37233728901,31017.0
248,0.16867116576,0.257593123209,0.254062298292,0.399785858419,14396.0
249,0.189144593547,0.0884928893514,0.32719214303,0.16026452793,82842.0
250,0.494145882835,0.431932773109,0.507396848172,0.383200945151,54454.0
251,0.328094878702,0.281633400476,0.473970896501,0.341098254162,9372.0
252,0.191208103592,0.249534894105,0.409693083295,0.321998091863,62673.0
253,0.229459977786,0.174949290061,0.245939705147,0.228915662651,301.0
254,0.460085286185,0.54625346901,0.523790549176,0.683905443348,3940.0
255,0.621465228138,0.581444655651,0.614560407459,0.609611407424,23606.0
257,0.284494591108,0.257327750285,0.398619408912,0.427368421053,268.0
260,0.124442920347,0.155687576446,0.298787759874,0.48559580969,2006.0
261,0.433048661335,0.543706569804,0.626422176669,0.53614251456,16069.0
262,0.0,0.0,0.00383131505623,0.00588235294118,28.0
263,0.132437406037,0.122622345337,0.133182631302,0.133432015225,951.0
264,0.232032644261,0.252502449951,0.498658237431,0.52298513302,32548.0
265,0.133224867982,0.118269743355,0.254180436931,0.234378963389,3772.0
267,0.401431324174,0.434489444517,0.625829336123,0.444199040728,29949.0
268,0.59339807867,0.515189982978,0.781483892414,0.551470115164,16025.0
269,0.295320329559,0.234843907351,0.386994821753,0.239097418095,1165.0
270,0.44864589612,0.560714285714,0.502923331042,0.610406646261,1310.0
271,0.587923488543,0.520393464994,0.824901511044,0.612089334511,14133.0
272,0.140863963785,0.144144144144,0.207444581971,0.140552995392,149.0
274,0.411360779831,0.190082644628,0.265355386071,0.274611398964,35.0
275,0.36978394755,0.421088415265,0.43470287124,0.450113102488,15819.0
276,0.347027475352,0.423408141962,0.353012529812,0.317280024231,1520.0
277,0.0803370524109,0.137355584082,0.112776598391,0.23358778626,136.0
278,0.153596239747,0.245551601423,0.391810436324,0.141078838174,22.0
279,0.0634790631238,0.029746835443,0.232551003695,0.166862514689,491.0
280,0.222368594352,0.258351893096,0.303257561413,0.317733990148,459.0
281,0.14850736009,0.095406360424,0.393733470913,0.244186046512,12.0
282,0.362910936423,0.571089706728,0.35894496438,0.437447239575,5307.0
283,0.271650819169,0.387227572225,0.290040076867,0.348796920115,6096.0
284,0.189436493314,0.0805270863836,0.304223537908,0.261353898886,190.0
285,0.164256230332,0.119446661346,0.211845759294,0.193072879085,4920.0
286,0.122405478361,0.083449558345,0.189940309218,0.127692706982,936.0
287,0.205389214987,0.264278514002,0.492960643467,0.521071388166,33866.0
288,0.483551564319,0.486121306038,0.561625672228,0.46123425291,22140.0
289,0.0,0.0,0.0102248794923,0.0196078431373,73.0
290,0.594299351801,0.522334534029,0.788066915784,0.617228930231,33142.0
291,0.37090581533,0.446687568504,0.603832652685,0.517993584135,15977.0
292,0.545428327504,0.605273857234,0.648651606909,0.670080540917,12304.0
293,0.434425658213,0.485012059263,0.441222697113,0.398671096346,1894.0
294,0.512943890226,0.395356442119,0.664798934968,0.486101464959,37497.0
295,0.544281440667,0.53506012951,0.603971292358,0.49913718723,669.0
298,0.407097391218,0.258644067797,0.608230295025,0.422647527911,167.0
299,0.51737907042,0.509908944831,0.624272258876,0.765385381398,763.0
300,0.189224935783,0.475,0.145326743408,0.389233954451,29.0
301,0.0466061248591,0.0278207109737,0.167489531769,0.367875647668,32.0
302,0.638928312403,0.633081301504,0.678655030159,0.735207680251,2409.0
303,0.434536836769,0.416233991,0.0,0.0,1067.0
305,0.462554769508,0.383108402264,0.529278184733,0.621385176185,577.0
306,0.565511445471,0.386085252327,0.760980480217,0.533519553073,265.0
309,0.290158031973,0.316996047431,0.497076260768,0.426329555362,136.0
314,0.201852373072,0.171394085697,0.324314696441,0.516016713092,263.0
315,0.521965925724,0.493763876958,0.526857092484,0.456298293459,211211.0
316,0.291849852894,0.112442396313,0.679234466982,0.561490359562,1311.0
317,0.500287880138,0.576664747649,0.526530688291,0.62049828075,4599.0
318,0.230791227021,0.0948667966212,0.354283832572,0.203415369161,735.0
319,0.404663977297,0.271243100365,0.491669561687,0.203401969561,4670.0
320,0.23820000048,0.222058620927,0.274959323402,0.386111244421,105548.0
321,0.439905536876,0.343567492356,0.579921996871,0.527133050016,45530.0
322,0.207616888328,0.239138082674,0.411062665471,0.412591137597,14055.0
323,0.434513525077,0.3406706439,0.589044018477,0.470014759574,11290.0
324,0.217749640917,0.206051046745,0.222850018611,0.147158814959,1558.0
325,0.0724482115728,0.143624161074,0.109509899939,0.264243917462,2185.0
326,0.631573610283,0.507016561614,0.734752837026,0.624276265634,19078.0
328,0.261641587561,0.159707724426,0.430490641408,0.430957683742,180.0
329,0.56207174286,0.460686812259,0.677585085801,0.519845086822,39390.0
330,0.210082029024,0.180974230379,0.308601690893,0.237657691584,34449.0
331,0.40323062667,0.256800373965,0.481190205941,0.298021681571,73021.0
332,0.640268076649,0.541177025074,0.719552963156,0.47824702091,27468.0
333,0.359481263256,0.317418271094,0.462811980165,0.289467969598,12228.0
334,0.372368019355,0.391216873986,0.691694153122,0.563530579606,33094.0
335,0.196658311316,0.433173704832,0.28684595858,0.176779987171,4252.0
336,0.125703946955,0.110891089109,0.136648871742,0.137931034483,50.0
337,0.0524501043799,0.111903064861,0.0747536994729,0.0405405405405,302.0
338,0.159708661943,0.1,0.186412724933,0.27734375,34.0
339,0.194380707965,0.107382550336,0.124292123778,0.284671532847,14.0
340,0.0254421855203,0.0292134831461,0.0331740323348,0.141486810552,223.0
341,0.281154363482,0.227248816412,0.297199906532,0.18163507109,2480.0
343,0.205756768662,0.394625176803,0.225243101553,0.404290429043,107.0
344,0.185770708327,0.206022187005,0.271785548419,0.323493234932,620.0
345,0.0995255604489,0.120485327314,0.160560058818,0.306821657999,1018.0
346,0.55134504861,0.465247048366,0.630158465587,0.488123170432,28552.0
347,0.458750845181,0.375745809262,0.535958435303,0.465983172675,6751.0
348,0.272748064076,0.305396693356,0.551247041975,0.618908737392,2713.0
349,0.0207240766471,0.0721220527046,0.00142781824748,0.00338409475465,202.0
350,0.0151113574462,0.0318518518519,0.00507688290087,0.0120817843866,332.0
351,0.163269542401,0.148656936097,0.393573818458,0.47303070761,1998.0
352,0.164542190497,0.13163739148,0.476549467621,0.339777670372,981.0
354,0.0249785995716,0.085910652921,0.299370118061,0.154506437768,32.0
355,0.13609279996,0.229624116115,0.0991245074423,0.0706655710764,311.0
356,0.103964822353,0.362416107383,0.103068101726,0.128410914928,103.0
357,0.107519091387,0.159156279962,0.117130586614,0.263157894737,182.0
358,0.0846624360521,0.34962406015,0.219315565734,0.300469483568,32.0
360,0.213712336201,0.274551535421,0.224703311029,0.258165392634,703.0
361,0.130665705331,0.188372093023,0.160489929319,0.208522212149,163.0
362,0.029203543123,0.134048257373,0.086719741086,0.0422960725076,27.0
363,0.0213014915478,0.0248724489796,0.0192412062244,0.036093418259,191.0
366,0.123478974063,0.153284671533,0.130850736988,0.1592039801,107.0
368,0.40583379292,0.384179265659,0.48544020138,0.418276602269,467.0
369,0.509717234338,0.365689381933,0.712846879558,0.397179253867,278.0
371,0.209356267495,0.17027027027,0.2229069789,0.288699690402,348.0
372,0.219545088965,0.289403383793,0.3061518163,0.390937829294,137.0
373,0.0808468747647,0.239059967585,0.148136740415,0.205751115518,719.0
374,0.631634458563,0.552226919071,0.771018429456,0.649421965318,5841.0
375,0.203197207793,0.314755412991,0.371755008812,0.255966307908,528.0
376,0.45308802033,0.332699619772,0.708777453456,0.410227904391,2581.0
377,0.195312120156,0.340582815513,0.237367440919,0.185072738773,3520.0
378,0.279603118097,0.27036199095,0.419296462783,0.383687718185,1041.0
379,0.369696364477,0.228380187416,0.510241171033,0.255402948899,3662.0
381,0.252928951753,0.181213307241,0.353636286762,0.265457543281,2683.0
382,0.239931253551,0.376375641966,0.526700284919,0.521428571429,220.0
383,0.146602614134,0.342189160468,0.156679405941,0.20365535248,65.0
384,0.175279888143,0.137145049885,0.236696293111,0.255257954341,6315.0
385,0.244922298803,0.28149882904,0.404401367109,0.501180637544,695.0
386,0.0765480798303,0.130519480519,0.194229732886,0.202401372213,407.0
387,0.188654116037,0.360451306413,0.31586260766,0.34487534626,199.0
388,0.322789428397,0.271949262627,0.363803686701,0.269999123806,11248.0
389,0.476734639709,0.490215755143,0.696620991436,0.373099801718,2864.0
390,0.627104667119,0.500559190292,0.73994350655,0.441255373477,12859.0
391,0.410620767986,0.530391011827,0.541342570154,0.66439190836,27440.0
392,0.462909146201,0.439300411523,0.507323211181,0.534994068802,98.0
393,0.0228678967906,0.0843373493976,0.0181991274963,0.0222222222222,45.0
394,0.156375328666,0.247632920612,0.15007426876,0.131255127153,292.0
396,0.35516509575,0.273426359747,0.431415163192,0.173397953689,8403.0
397,0.11533062574,0.199146514936,0.194928731404,0.320205479452,119.0
398,0.133315454665,0.139030612245,0.0968533847486,0.0741885625966,542.0
399,0.246234774859,0.357551739322,0.49864664609,0.64578313253,791.0
400,0.0966150944839,0.253067484663,0.108628624399,0.257750221435,302.0
401,0.343846595823,0.542708333333,0.288064091091,0.385694060541,7187.0
402,0.315874267217,0.323227500597,0.385014971465,0.411613184894,7996.0
403,0.212978928466,0.155923566879,0.191444239716,0.153846153846,1353.0
404,0.158182970205,0.149973219068,0.280749706409,0.28384279476,480.0
405,0.232155015063,0.219826675122,0.290825081978,0.359393793601,1395.0
406,0.164982136095,0.405697313352,0.196597651614,0.474378394355,36048.0
407,0.0564863424575,0.0845878136201,0.0620305861054,0.118686868687,661.0
409,0.142470405927,0.125925925926,0.252585043835,0.173038229376,80.0
410,0.37946456386,0.265845888365,0.410052920875,0.428644018583,16057.0
411,0.0662571047586,0.110297961317,0.104637625211,0.177334116265,375.0
412,0.0325341651547,0.132631578947,0.175830225123,0.35635359116,72.0
413,0.434960191178,0.46201743462,0.251244465356,0.16998096044,9480.0
414,0.401227301288,0.478310665712,0.545979172868,0.399772009821,5880.0
415,0.277986879963,0.267568362246,0.393173947795,0.445301150967,10196.0
416,0.247790909804,0.348881695115,0.306634551969,0.288382453735,30217.0
417,0.0705304530124,0.0444542253521,0.104256753582,0.0576540755467,383.0
418,0.0906671003617,0.179044560418,0.111707299922,0.21206743567,728.0
419,0.477799123888,0.292848236836,0.37795009784,0.21550814234,9859.0
420,0.281132066045,0.251566366556,0.299350384414,0.231789737171,25518.0
421,0.156437830434,0.265149275791,0.341473656039,0.292997741207,2383.0
422,0.575455992252,0.538675203616,0.78314133236,0.632803662806,7026.0
423,0.476975635637,0.45679916318,0.430483732248,0.347555129434,4129.0
424,0.250145484114,0.0959347643602,0.656668914482,0.641906397596,1346.0
425,0.0522572894015,0.100911854103,0.119574342761,0.174273858921,466.0
426,0.0918101530456,0.0769595074592,0.159012653735,0.185431380695,4464.0
427,0.475471732502,0.321905826328,0.735783619468,0.481614223226,17972.0
428,0.0,0.0,0.0212847432776,0.0332225913621,24.0
429,0.34582519492,0.391535100651,0.591879400399,0.704537804841,22548.0
430,0.281263025928,0.424350302599,0.703994799781,0.763031251812,7851.0
431,0.228596343484,0.315150032616,0.413435886259,0.589153971448,7514.0
